group,exp_name,model,arch,patch,lr,loss
C,GC_0198_S_deformable_attn_p256_lr2e-04_L1SSIM,S,deformable_attn,256,0.0002,L1+SSIM
C,GC_0199_S_deformable_attn_p256_lr2e-04_L1PercSSIMFreq,S,deformable_attn,256,0.0002,L1+Perc+SSIM+Freq
C,GC_0200_S_deformable_attn_p256_lr4e-04_L1,S,deformable_attn,256,0.0004,L1
C,GC_0201_S_deformable_attn_p256_lr4e-04_L1Perc,S,deformable_attn,256,0.0004,L1+Perc
C,GC_0202_S_deformable_attn_p256_lr4e-04_L1SSIM,S,deformable_attn,256,0.0004,L1+SSIM
C,GC_0203_S_deformable_attn_p256_lr4e-04_L1PercSSIMFreq,S,deformable_attn,256,0.0004,L1+Perc+SSIM+Freq
C,GC_0204_B_deformable_attn_p128_lr1e-04_L1,B,deformable_attn,128,0.0001,L1
C,GC_0205_B_deformable_attn_p128_lr1e-04_L1Perc,B,deformable_attn,128,0.0001,L1+Perc
C,GC_0206_B_deformable_attn_p128_lr1e-04_L1SSIM,B,deformable_attn,128,0.0001,L1+SSIM
C,GC_0207_B_deformable_attn_p128_lr1e-04_L1PercSSIMFreq,B,deformable_attn,128,0.0001,L1+Perc+SSIM+Freq
C,GC_0208_B_deformable_attn_p128_lr2e-04_L1,B,deformable_attn,128,0.0002,L1
C,GC_0209_B_deformable_attn_p128_lr2e-04_L1Perc,B,deformable_attn,128,0.0002,L1+Perc
C,GC_0210_B_deformable_attn_p128_lr2e-04_L1SSIM,B,deformable_attn,128,0.0002,L1+SSIM
C,GC_0211_B_deformable_attn_p128_lr2e-04_L1PercSSIMFreq,B,deformable_attn,128,0.0002,L1+Perc+SSIM+Freq
C,GC_0212_B_deformable_attn_p128_lr4e-04_L1,B,deformable_attn,128,0.0004,L1
C,GC_0213_B_deformable_attn_p128_lr4e-04_L1Perc,B,deformable_attn,128,0.0004,L1+Perc
C,GC_0214_B_deformable_attn_p128_lr4e-04_L1SSIM,B,deformable_attn,128,0.0004,L1+SSIM
C,GC_0215_B_deformable_attn_p128_lr4e-04_L1PercSSIMFreq,B,deformable_attn,128,0.0004,L1+Perc+SSIM+Freq
C,GC_0216_B_deformable_attn_p256_lr1e-04_L1,B,deformable_attn,256,0.0001,L1
C,GC_0217_B_deformable_attn_p256_lr1e-04_L1Perc,B,deformable_attn,256,0.0001,L1+Perc
C,GC_0218_B_deformable_attn_p256_lr1e-04_L1SSIM,B,deformable_attn,256,0.0001,L1+SSIM
C,GC_0219_B_deformable_attn_p256_lr1e-04_L1PercSSIMFreq,B,deformable_attn,256,0.0001,L1+Perc+SSIM+Freq
C,GC_0220_B_deformable_attn_p256_lr2e-04_L1,B,deformable_attn,256,0.0002,L1
C,GC_0221_B_deformable_attn_p256_lr2e-04_L1Perc,B,deformable_attn,256,0.0002,L1+Perc
C,GC_0222_B_deformable_attn_p256_lr2e-04_L1SSIM,B,deformable_attn,256,0.0002,L1+SSIM
C,GC_0223_B_deformable_attn_p256_lr2e-04_L1PercSSIMFreq,B,deformable_attn,256,0.0002,L1+Perc+SSIM+Freq
C,GC_0224_B_deformable_attn_p256_lr4e-04_L1,B,deformable_attn,256,0.0004,L1
C,GC_0225_B_deformable_attn_p256_lr4e-04_L1Perc,B,deformable_attn,256,0.0004,L1+Perc
C,GC_0226_B_deformable_attn_p256_lr4e-04_L1SSIM,B,deformable_attn,256,0.0004,L1+SSIM
C,GC_0227_B_deformable_attn_p256_lr4e-04_L1PercSSIMFreq,B,deformable_attn,256,0.0004,L1+Perc+SSIM+Freq
D,GD_0228_S_channel_attn_p128_lr1e-04_L1,S,channel_attn,128,0.0001,L1
D,GD_0229_S_channel_attn_p128_lr1e-04_L1PercSSIMFreq,S,channel_attn,128,0.0001,L1+Perc+SSIM+Freq
D,GD_0230_S_channel_attn_p128_lr2e-04_L1,S,channel_attn,128,0.0002,L1
D,GD_0231_S_channel_attn_p128_lr2e-04_L1PercSSIMFreq,S,channel_attn,128,0.0002,L1+Perc+SSIM+Freq
D,GD_0232_S_channel_attn_p128_lr4e-04_L1,S,channel_attn,128,0.0004,L1
D,GD_0233_S_channel_attn_p128_lr4e-04_L1PercSSIMFreq,S,channel_attn,128,0.0004,L1+Perc+SSIM+Freq
D,GD_0234_S_channel_attn_p256_lr1e-04_L1,S,channel_attn,256,0.0001,L1
D,GD_0235_S_channel_attn_p256_lr1e-04_L1PercSSIMFreq,S,channel_attn,256,0.0001,L1+Perc+SSIM+Freq
D,GD_0236_S_channel_attn_p256_lr2e-04_L1,S,channel_attn,256,0.0002,L1
D,GD_0237_S_channel_attn_p256_lr2e-04_L1PercSSIMFreq,S,channel_attn,256,0.0002,L1+Perc+SSIM+Freq
D,GD_0238_S_channel_attn_p256_lr4e-04_L1,S,channel_attn,256,0.0004,L1
D,GD_0239_S_channel_attn_p256_lr4e-04_L1PercSSIMFreq,S,channel_attn,256,0.0004,L1+Perc+SSIM+Freq
D,GD_0240_B_channel_attn_p128_lr1e-04_L1,B,channel_attn,128,0.0001,L1
D,GD_0241_B_channel_attn_p128_lr1e-04_L1PercSSIMFreq,B,channel_attn,128,0.0001,L1+Perc+SSIM+Freq
D,GD_0242_B_channel_attn_p128_lr2e-04_L1,B,channel_attn,128,0.0002,L1
D,GD_0243_B_channel_attn_p128_lr2e-04_L1PercSSIMFreq,B,channel_attn,128,0.0002,L1+Perc+SSIM+Freq
D,GD_0244_B_channel_attn_p128_lr4e-04_L1,B,channel_attn,128,0.0004,L1
D,GD_0245_B_channel_attn_p128_lr4e-04_L1PercSSIMFreq,B,channel_attn,128,0.0004,L1+Perc+SSIM+Freq
D,GD_0246_B_channel_attn_p256_lr1e-04_L1,B,channel_attn,256,0.0001,L1
D,GD_0247_B_channel_attn_p256_lr1e-04_L1PercSSIMFreq,B,channel_attn,256,0.0001,L1+Perc+SSIM+Freq
